Município1,Código Município IBGE,População estimada (2020),UF1,day.of.week,date,Média de Índice De Isolamento..
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-17-10,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-16-10,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-15-10,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-14-10,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-13-10,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-12-10,0.46
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-11-10,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-10-10,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-09-10,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-08-10,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-07-10,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-06-10,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-05-10,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-04-10,0.44
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-03-10,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-02-10,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-01-10,0.35
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-30-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-29-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-28-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-27-09,0.45
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-26-09,0.39
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-25-09,0.36
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-24-09,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-23-09,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-22-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-21-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-20-09,0.46
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-19-09,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-18-09,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-17-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-16-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-15-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-14-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-13-09,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-12-09,0.4
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sexta-feira,2020-11-09,0.37
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quinta-feira,2020-10-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,quarta-feira,2020-09-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,terça-feira,2020-08-09,0.38
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,segunda-feira,2020-07-09,0.47
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,domingo,2020-06-09,0.45
SÃO JOSÉ DO RIO PRETO,3549805,464983,SP,sábado,2020-05-09,0.4
